"100,00%","100,00%",2,2,t,t,Santa Teresa,2,1,1,1,$192.00,3,1125,2,3,1125,1125,3.0,1125.0,t,2,9,26,116,194,14,2,4.81,4.76,t,1,1,0,1.64,,,,,,,,
"100,00%","0,00%",1,1,t,f,Botafogo,2,1,1,1,$250.00,1,1125,1,1,1125,1125,1.0,1125.0,t,0,2,2,240,3,0,0,5.0,4.33,f,1,1,0,0.03,,,,,,,,
"100,00%","100,00%",2,2,t,t,Barra da Tijuca,2,1.5 ,1,1,$295.00,14,93,14,15,1125,1125,14.0,1125.0,t,0,0,19,87,37,5,1,4.97,4.7,t,2,2,0,0.32,,,,,,,,
"100,00%","90,00%",4,4,t,t,Copacabana,2,1,1,1,$432.00,1,28,1,4,28,28,1.1,28.0,t,16,46,76,83,83,19,1,4.82,4.65,f,3,3,0,0.69,,,,,,,,
"75,00%","20,00%",1,1,t,f,Vidigal,4,1,2,2,$236.00,1,90,1,1,90,90,1.0,90.0,t,0,0,0,237,8,0,0,4.14,4.0,f,1,1,0,0.07,,,,,,,,
"0,00%","0,00%",4,4,t,f,Centro,3,1,1,1,$200.00,2,360,2,2,360,360,2.0,360.0,t,25,55,83,358,23,0,0,4.81,4.7,f,4,4,0,0.19,,,,,,,,
N/A,N/A,1,1,t,f,Copacabana,4,1,1,1,$436.00,4,29,4,4,1125,1125,4.0,1125.0,t,4,26,50,325,214,2,0,4.93,4.86,t,1,1,0,1.75,,,,,,,,
"100,00%","90,00%",4,4,t,t,Copacabana,2,1,1,1,$255.00,2,30,2,2,30,30,2.0,30.0,t,25,55,85,355,22,0,0,5.0,4.95,f,3,1,2,0.24,,,,,,,,
N/A,N/A,1,1,t,f,Leblon,6,3.5 ,4,3,"$5,675.00",2,7,2,2,7,7,2.0,7.0,t,30,60,90,365,0,0,0,,,f,1,1,0,,,,,,,,,
"85,00%","59,00%",1,1,t,f,Jardim Botânico,2,1,1,1,$154.00,3,1125,3,5,1125,1125,3.0,1125.0,t,10,10,40,315,20,1,0,4.81,4.29,f,2,0,2,0.16,,,,,,,,
"100,00%","67,00%",4,4,t,t,Santa Teresa,1,1,1,1,$55.00,90,180,90,90,180,180,90.0,180.0,t,0,0,0,234,4,0,0,5.0,4.75,f,4,0,4,0.05,,,,,,,,
